cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,1,100,5120,8,0,16.0079,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.06,32.32,0.0
256,1,200,5120,8,0,16.1116,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.13,63.9,0.0
256,1,800,5120,8,0,17.9252,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.46,228.88,0.0
256,1,1280,8192,8,0,28.1634,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.74,372.7,0.0
256,1,2304,16384,8,0,52.6198,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.43,717.79,0.0
256,1,2560,8192,8,0,27.9545,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.5,750.68,0.0
256,1,4608,16384,8,0,53.4466,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.83,1413.06,0.0
256,1,5120,640,8,0,4.4527,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.47,738.36,0.0
256,1,5120,1280,8,0,6.8727,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.91,955.25,0.0
256,1,5120,3200,8,0,12.5108,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.62,1310.66,0.0
256,1,5120,5120,8,0,18.4654,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.84,1420.48,0.0
256,1,5120,6400,8,0,22.3901,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.93,1464.25,0.0
256,1,5120,25600,8,0,84.3559,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.11,1554.22,0.0
256,1,6400,5120,8,0,18.8247,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.48,1741.64,0.0
256,1,7168,8192,8,0,29.0563,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.04,2021.69,0.0
256,1,8192,1024,8,0,5.7097,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.94,1472.23,0.0
256,1,8192,2048,8,0,8.5139,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.94,1972.73,0.0
256,1,8192,3584,8,0,13.6764,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.29,2148.23,0.0
256,1,8192,7168,8,0,25.7964,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.55,2277.21,0.0
256,1,8192,8192,8,0,29.3346,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.58,2288.54,0.0
