cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,16,1536,7168,8,0,21.4294,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16.44,521.43,0.0
256,16,576,7168,8,0,21.0447,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.28,202.52,0.0
256,16,7168,256,7,0,3.1395,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,18.7,658.86,0.0
256,16,4608,7168,8,0,21.3896,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,49.41,1556.47,0.0
256,16,7168,2304,8,0,8.8124,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,59.97,1904.28,0.0
256,16,512,7168,8,0,20.8066,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.64,182.69,0.0
256,32,1536,7168,8,0,21.4929,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,32.78,527.51,0.0
256,32,576,7168,8,0,21.1338,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,12.5,207.96,0.0
256,32,7168,256,6,0,3.2424,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,36.22,709.95,0.0
256,32,4608,7168,8,0,21.4107,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,98.73,1567.18,0.0
256,32,7168,2304,8,0,8.5284,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,123.93,1998.92,0.0
256,32,512,7168,8,0,20.7637,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.31,189.38,0.0
256,64,1536,7168,8,0,21.382,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,65.91,545.57,0.0
256,64,576,7168,8,0,21.1573,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,24.98,220.31,0.0
256,64,7168,256,6,0,3.9053,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,60.14,709.01,0.0
256,64,4608,7168,18,0,26.015,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,162.52,1309.96,0.0
256,64,7168,2304,18,0,10.3903,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,203.45,1691.97,0.0
256,64,512,7168,8,0,20.8324,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,22.55,201.34,0.0
256,128,1536,7168,8,0,20.8404,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,135.25,591.2,0.0
256,128,576,7168,8,0,20.6122,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,51.28,251.97,0.0
256,128,7168,256,18,0,4.3093,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,109.01,859.25,0.0
256,128,4608,7168,18,0,26.4431,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,319.77,1328.41,0.0
256,128,7168,2304,18,0,10.8608,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,389.28,1716.72,0.0
256,128,512,7168,8,0,20.4411,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,45.96,230.84,0.0
256,256,1536,7168,18,0,26.0617,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,216.3,523.05,0.0
256,256,576,7168,8,0,20.7771,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,101.74,301.23,0.0
256,256,7168,256,13,0,4.7247,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,198.85,1179.03,0.0
256,256,4608,7168,2,0,41.5553,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,406.96,895.78,0.0
256,256,7168,2304,2,0,16.0233,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,527.71,1296.54,0.0
256,256,512,7168,8,0,20.8496,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,90.12,276.61,0.0
256,512,1536,7168,18,0,26.4716,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,425.9,613.98,0.0
256,512,576,7168,18,0,25.9377,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,163.0,323.41,0.0
256,512,7168,256,18,0,7.5239,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,249.74,1236.87,0.0
256,512,4608,7168,0,0,52.2019,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,647.92,793.43,0.0
256,512,7168,2304,0,0,20.0691,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,842.66,1247.43,0.0
256,512,512,7168,8,0,21.3169,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,176.3,368.92,0.0
256,1024,1536,7168,2,0,40.8978,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,551.34,525.6,0.0
256,1024,576,7168,18,0,26.3173,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,321.3,480.61,0.0
256,1024,7168,256,18,0,10.865,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,345.89,1544.15,0.0
