cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
256,1,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,4,11.9702,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0060,0,0
256,2,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,5,12.1577,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0054,0,0
256,4,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,4,12.4297,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0051,0,0
256,8,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,5,12.5252,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0050,0,0
256,16,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,5,12.6697,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0079,0,0
256,32,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,4,12.6482,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0042,0,0
256,1,2880,512,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,2,12.5112,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0059,0,0
256,2,2880,512,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,2,12.6087,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0063,0,0
256,4,2880,512,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,2,12.5357,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0060,0,0
256,8,2880,512,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,2,12.6917,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0054,0,0
256,16,2880,512,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,2,12.6977,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0052,0,0
256,32,2880,512,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,2,12.7602,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0051,0,0
256,1,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,438410,0,10.8187,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x512_MI16x16x1_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA1024_LBSPPB1024_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT1_1_MO40_NTn1_NTA7_NTB2_NTC2_NTD0_NTM0_NEPBS4_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS0_SPO1_SRVW0_SSO0_SVW1_SK3_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS64_WG16_4_4,0.0,2.8,2800.35
256,2,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,438618,0,10.9777,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x512_MI16x16x1_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA1024_LBSPPB1024_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT1_1_MO40_NTn1_NTA6_NTB1_NTC3_NTD0_NTM0_NEPBS14_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO1_SRVW0_SSO0_SVW1_SK3_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS64_WG16_4_4,0.0,5.52,2761.48
256,4,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,439683,0,11.135,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x512_MI16x16x1_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA1024_LBSPPB1024_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT1_1_MO40_NTn1_NTA4_NTB0_NTC2_NTD1_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS0_SPO1_SRVW0_SSO0_SVW1_SK3_SKFTR0_SKXCCM0_TLDS2_ULSGRO0_USL1_UIOFGRO0_USFGRO1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS64_WG16_4_4,0.0,10.88,2725.81
256,8,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,439683,0,11.1637,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x512_MI16x16x1_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA1024_LBSPPB1024_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT1_1_MO40_NTn1_NTA4_NTB0_NTC2_NTD1_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS0_SPO1_SRVW0_SSO0_SVW1_SK3_SKFTR0_SKXCCM0_TLDS2_ULSGRO0_USL1_UIOFGRO0_USFGRO1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS64_WG16_4_4,0.0,21.7,2725.45
