cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
304,67,8192,8192,113,0,30.9552,a8w8_bpreshuffle_256x48x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,290.5,2221.13,0.0
304,87,8192,8192,119,0,32.0539,a8w8_bpreshuffle_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,364.29,2160.33,0.0
304,90,8192,8192,113,0,32.3355,a8w8_bpreshuffle_256x48x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,373.57,2143.8,0.0
304,67,28672,28672,122,0,263.7192,a8w8_bpreshuffle_256x80x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,417.71,3139.12,0.0
304,87,28672,28672,120,0,312.0882,a8w8_bpreshuffle_256x48x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,458.34,2658.12,0.0
304,90,28672,28672,86,0,304.4296,a8w8_bpreshuffle_256x96x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,486.07,2725.84,0.0
304,64,8192,8192,112,0,27.043,a8w8_bpreshuffle_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v1,317.64,2539.72,0.0
304,128,8192,8192,114,0,34.9222,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,491.95,2011.75,0.0
304,256,8192,8192,121,0,53.169,a8w8_bpreshuffle_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,646.24,1380.51,0.0
304,64,28672,28672,121,0,250.4471,a8w8_bpreshuffle_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,420.16,3304.44,0.0
304,128,28672,28672,63,0,326.941,a8w8_bpreshuffle_256x128x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,643.7,2548.15,0.0
304,256,28672,28672,154,0,487.7634,a8w8_bpreshuffle_256x128x256x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,862.93,1730.56,0.0
