cu_num,M,N,K,q_dtype_w,kernelId,splitK,us,kernelName,tflops,bw,errRatio,libtype
256,1,28672,8192,torch.float8_e4m3fn,4,0,42.0118,a8w8_bpreshuffle_256x192x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,11.18,5592.39,0.0,ck
256,1,1024,8192,torch.float8_e4m3fn,3,0,13.0081,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,1.29,645.66,0.0,ck
256,2,28672,8192,torch.float8_e4m3fn,4,0,42.0898,a8w8_bpreshuffle_256x192x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,22.32,5583.59,0.0,ck
256,2,1024,8192,torch.float8_e4m3fn,3,0,13.0295,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,2.58,645.39,0.0,ck
256,4,28672,8192,torch.float8_e4m3fn,3,0,42.3384,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,44.38,5553.9,0.0,ck
256,4,1024,8192,torch.float8_e4m3fn,3,0,13.1095,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,5.12,643.01,0.0,ck
256,8,28672,8192,torch.float8_e4m3fn,3,0,42.877,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,87.65,5490.25,0.0,ck
256,8,1024,8192,torch.float8_e4m3fn,3,0,13.1261,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,10.23,645.32,0.0,ck
256,16,28672,8192,torch.float8_e4m3fn,3,0,44.1803,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,170.13,5340.15,0.0,ck
256,16,1024,8192,torch.float8_e4m3fn,3,0,11.9709,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,22.42,714.44,0.0,ck
256,32,28672,8192,torch.float8_e4m3fn,45,0,45.3865,a8w8_bpreshuffle_256x224x96x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4x4x1_1x1_intrawave_v3,331.21,5221.34,0.0,ck
256,32,1024,8192,torch.float8_e4m3fn,3,0,12.0828,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,44.43,721.38,0.0,ck
256,64,28672,8192,torch.float8_e4m3fn,48,0,47.186,a8w8_bpreshuffle_256x192x224x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,637.15,5066.66,0.0,ck
256,64,1024,8192,torch.float8_e4m3fn,3,0,12.0408,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,89.18,751.11,0.0,ck
256,128,28672,8192,torch.float8_e4m3fn,10,0,55.2006,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1089.29,4407.01,0.0,ck
256,128,1024,8192,torch.float8_e4m3fn,3,0,12.0684,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,177.94,803.7,0.0,ck
256,256,28672,8192,torch.float8_e4m3fn,13,0,72.9397,a8w8_bpreshuffle_256x64x16x512_16x16_16x16_32x8x1_32x8x1_1x64x1x4_4x4x1_1x1_intrawave_v1,1648.75,3450.22,0.0,ck
