cu_num,M,N,K,q_dtype_w,kernelId,splitK,us,kernelName,tflops,bw,errRatio,libtype
256,16,8192,28672,torch.float8_e4m3fn,3,1,41.3977,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,181.56,5691.18,0.0,ck
256,32,8192,28672,torch.float8_e4m3fn,28,0,48.0794,a8w8_bpreshuffle_256x64x16x512_16x16_16x16_32x8x1_32x8x1_1x64x1x4_4x4x1_1x1_intrawave_v2,312.66,4915.26,0.0,ck
256,48,8192,28672,torch.float8_e4m3fn,43,0,66.7112,a8w8_bpreshuffle_256x224x160x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4x4x1_1x1_intrawave_v3,338.0,3553.28,0.0,ck
256,64,8192,28672,torch.float8_e4m3fn,43,3,65.9057,a8w8_bpreshuffle_256x224x160x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4x4x1_1x1_intrawave_v3,456.18,3607.65,0.0,ck
256,80,8192,28672,torch.float8_e4m3fn,52,0,79.8612,a8w8_bpreshuffle_256x192x96x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,470.58,2986.25,0.0,ck
256,96,8192,28672,torch.float8_e4m3fn,46,0,75.0736,a8w8_bpreshuffle_256x224x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,600.71,3186.29,0.0,ck
256,112,8192,28672,torch.float8_e4m3fn,52,3,81.0307,a8w8_bpreshuffle_256x192x96x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,649.3,2960.94,0.0,ck
256,128,8192,28672,torch.float8_e4m3fn,52,2,75.7721,a8w8_bpreshuffle_256x192x96x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,793.56,3175.95,0.0,ck
256,144,8192,28672,torch.float8_e4m3fn,54,3,88.1748,a8w8_bpreshuffle_256x160x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,767.18,2737.39,0.0,ck
256,160,8192,28672,torch.float8_e4m3fn,54,0,89.893,a8w8_bpreshuffle_256x160x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,836.13,2693.09,0.0,ck
256,176,8192,28672,torch.float8_e4m3fn,45,2,93.5658,a8w8_bpreshuffle_256x224x96x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4x4x1_1x1_intrawave_v3,883.64,2595.08,0.0,ck
256,192,8192,28672,torch.float8_e4m3fn,60,1,92.2557,a8w8_bpreshuffle_256x160x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,977.66,2639.75,0.0,ck
256,208,8192,28672,torch.float8_e4m3fn,15,3,99.34,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,983.6,2458.75,0.0,ck
256,224,8192,28672,torch.float8_e4m3fn,8,0,95.9679,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,1096.48,2552.66,0.0,ck
256,240,8192,28672,torch.float8_e4m3fn,15,0,102.3512,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1101.53,2400.5,0.0,ck
256,256,8192,28672,torch.float8_e4m3fn,15,3,99.0345,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1214.32,2488.18,0.0,ck
256,16,8192,8192,torch.float8_e4m3fn,3,1,14.1107,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,152.19,4783.75,0.0,ck
256,32,8192,8192,torch.float8_e4m3fn,28,3,16.3128,a8w8_bpreshuffle_256x64x16x512_16x16_16x16_32x8x1_32x8x1_1x64x1x4_4x4x1_1x1_intrawave_v2,263.29,4162.09,0.0,ck
256,48,8192,8192,torch.float8_e4m3fn,43,2,21.8015,a8w8_bpreshuffle_256x224x160x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4x4x1_1x1_intrawave_v3,295.5,3132.29,0.0,ck
256,64,8192,8192,torch.float8_e4m3fn,43,3,21.7744,a8w8_bpreshuffle_256x224x160x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4x4x1_1x1_intrawave_v3,394.5,3154.24,0.0,ck
256,80,8192,8192,torch.float8_e4m3fn,52,2,25.1504,a8w8_bpreshuffle_256x192x96x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,426.93,2746.47,0.0,ck
256,96,8192,8192,torch.float8_e4m3fn,46,3,24.58,a8w8_bpreshuffle_256x224x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,524.2,2826.21,0.0,ck
256,112,8192,8192,torch.float8_e4m3fn,52,3,25.955,a8w8_bpreshuffle_256x192x96x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,579.17,2691.63,0.0,ck
256,128,8192,8192,torch.float8_e4m3fn,52,1,24.9396,a8w8_bpreshuffle_256x192x96x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,688.86,2816.99,0.0,ck
256,144,8192,8192,torch.float8_e4m3fn,54,3,29.4653,a8w8_bpreshuffle_256x160x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,655.94,2397.66,0.0,ck
256,160,8192,8192,torch.float8_e4m3fn,54,3,29.8902,a8w8_bpreshuffle_256x160x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,718.46,2376.73,0.0,ck
256,176,8192,8192,torch.float8_e4m3fn,45,3,30.5215,a8w8_bpreshuffle_256x224x96x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4x4x1_1x1_intrawave_v3,773.96,2340.46,0.0,ck
256,192,8192,8192,torch.float8_e4m3fn,60,1,30.4082,a8w8_bpreshuffle_256x160x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,847.46,2362.11,0.0,ck
256,208,8192,8192,torch.float8_e4m3fn,15,1,32.6872,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,854.07,2209.45,0.0,ck
256,224,8192,8192,torch.float8_e4m3fn,8,3,31.595,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,951.57,2298.27,0.0,ck
256,240,8192,8192,torch.float8_e4m3fn,15,3,33.2914,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,967.58,2192.97,0.0,ck
256,256,8192,8192,torch.float8_e4m3fn,15,3,31.8946,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1077.29,2301.34,0.0,ck
