cu_num,M,N,K,q_dtype_w,kernelId,splitK,us,kernelName,tflops,bw,errRatio,libtype
256,1,10240,8192,torch.float8_e4m3fn,3,0,17.2725,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,9.71,4858.29,0.0,ck
256,2,10240,8192,torch.float8_e4m3fn,3,0,17.423,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,19.26,4817.97,0.0,ck
256,4,10240,8192,torch.float8_e4m3fn,3,0,17.7096,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,37.89,4743.23,0.0,ck
256,8,10240,8192,torch.float8_e4m3fn,3,0,18.2007,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,73.74,4621.55,0.0,ck
256,16,10240,8192,torch.float8_e4m3fn,3,0,18.1395,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,147.98,4649.79,0.0,ck
256,32,10240,8192,torch.float8_e4m3fn,3,0,23.3054,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_1x2_intrawave_v3,230.36,3638.8,0.0,ck
256,64,10240,8192,torch.float8_e4m3fn,52,0,26.1586,a8w8_bpreshuffle_256x192x96x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,410.47,3276.98,0.0,ck
256,128,10240,8192,torch.float8_e4m3fn,46,0,31.3611,a8w8_bpreshuffle_256x224x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,684.76,2791.87,0.0,ck
256,256,10240,8192,torch.float8_e4m3fn,56,0,40.9322,a8w8_bpreshuffle_256x160x192x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1049.29,2228.71,0.0,ck
256,512,10240,8192,torch.float8_e4m3fn,31,0,57.5647,a8w8_bpreshuffle_256x16x256x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v2,1492.22,1712.27,0.0,ck
256,1024,10240,8192,torch.float8_e4m3fn,34,0,87.7991,a8w8_bpreshuffle_256x256x224x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,1956.72,1289.83,0.0,ck
256,2048,10240,8192,torch.float8_e4m3fn,34,0,162.8897,a8w8_bpreshuffle_256x256x224x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,2109.39,875.48,0.0,ck
256,4096,10240,8192,torch.float8_e4m3fn,37,0,294.4053,a8w8_bpreshuffle_256x256x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,2334.18,683.84,0.0,ck
256,1,57344,8192,torch.float8_e4m3fn,1,0,79.7891,a8w8_bpreshuffle_256x128x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_1x2_intrawave_v3,11.78,5889.09,0.0,ck
256,2,57344,8192,torch.float8_e4m3fn,1,0,80.0608,a8w8_bpreshuffle_256x128x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_1x2_intrawave_v3,23.47,5870.64,0.0,ck
256,4,57344,8192,torch.float8_e4m3fn,1,0,79.8994,a8w8_bpreshuffle_256x128x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_1x2_intrawave_v3,47.04,5885.57,0.0,ck
256,8,57344,8192,torch.float8_e4m3fn,1,0,80.0358,a8w8_bpreshuffle_256x128x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_1x2_intrawave_v3,93.91,5881.68,0.0,ck
256,16,57344,8192,torch.float8_e4m3fn,1,0,80.5358,a8w8_bpreshuffle_256x128x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_1x2_intrawave_v3,186.65,5857.37,0.0,ck
256,32,57344,8192,torch.float8_e4m3fn,47,0,87.6637,a8w8_bpreshuffle_256x192x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,342.96,5403.54,0.0,ck
256,64,57344,8192,torch.float8_e4m3fn,47,0,91.6081,a8w8_bpreshuffle_256x192x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,656.38,5213.8,0.0,ck
256,128,57344,8192,torch.float8_e4m3fn,18,0,101.4545,a8w8_bpreshuffle_256x16x512x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,1185.35,4785.3,0.0,ck
256,256,57344,8192,torch.float8_e4m3fn,38,0,133.6059,a8w8_bpreshuffle_256x256x96x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,1800.21,3751.48,0.0,ck
256,512,57344,8192,torch.float8_e4m3fn,38,0,237.9702,a8w8_bpreshuffle_256x256x96x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,2021.41,2238.42,0.0,ck
256,1024,57344,8192,torch.float8_e4m3fn,13,0,429.2718,a8w8_bpreshuffle_256x64x16x512_16x16_16x16_32x8x1_32x8x1_1x64x1x4_4x4x1_1x1_intrawave_v1,2241.17,1387.45,0.0,ck
256,2048,57344,8192,torch.float8_e4m3fn,38,0,779.7249,a8w8_bpreshuffle_256x256x96x128_16x16_16x16_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,2467.72,925.22,0.0,ck
